_id,avg_salary
abdelal01,568800.0
abdulka01,2140000.0
abdulma02,2205500.0
abdulta01,3798280.0
abdursh01,8715090.91
abrinal01,5859882.0
ackeral01,649829.33
acresma01,321800.0
acyqu01,1146500.86
adamsal01,591666.67
adamsha01,354940.5
adamsjo01,1404600.0
adamsmi01,826500.0
adamsst01,6433461.4
addisra01,346600.0
adebaba01,2490360.0
adrieje01,662881.4
afflaar01,4904346.58
agerma01,751656.25
aguirma01,908515.56
ahearbl01,125562.0
aingeda01,977777.78
ajincal01,2708446.0
akognjo01,788872.0
alabiso01,800000.0
alarima01,383125.0
aldemfu01,3000000.0
aldrico01,3411951.86
aldrila01,12301576.83
alexacl01,288271.0
alexaco01,1520144.75
alexaco02,1300460.4
alexaga01,150000.0
alexajo01,1692315.0
alexavi01,1079641.67
alforst01,166666.67
allenja01,1713720.0
allenje01,248125.0
allenla01,2530294.5
allenma01,1260713.0
allenra02,10242022.78
allento01,2907029.93
almonmo01,1043700.0
alstode01,250000.0
alstora01,2344127.58
amaecjo01,1366071.43
amayaas01,236250.0
aminual01,4430970.5
amundlo01,988707.42
anderal01,1275061.29
anderch01,2567140.07
anderda03,2400000.0
anderde01,4212366.21
anderer01,195000.0
andergr01,571625.0
anderja01,895769.33
anderju01,1514200.0
anderke01,4530371.43
anderky01,1395085.75
anderni01,3271593.69
anderri01,262500.0
anderro01,470000.0
anderry01,7850978.0
andersh01,3813340.38
anderwi01,1351250.0
andrima01,531485.5
anigbik01,950000.0
anslemi01,200000.0
anstech01,937606.67
antetgi01,6217410.2
antetth01,105888.0
anthoca01,15466761.0
anthogr01,1549354.17
anthojo01,2337798.7
anticpe01,1250000.0
anunoog01,1645200.0
applike01,161776.0
araujra01,2238960.0
archiro01,456568.5
arenagi01,11726226.75
arizatr01,5451466.43
armstbj01,1489090.91
armstbr01,930723.33
armstda01,2118187.54
armsthi01,1898895.6
arroyca01,2245506.11
artesro01,4532582.71
arthuda01,3322257.5
asikom01,7525304.62
askewvi01,976208.33
askinke01,574840.0
atkinch01,2849287.92
augmost01,1877343.75
augusdj01,3563831.0
augusja01,550087.0
austiis01,2514074.0
aventan01,682000.0
averywi01,1286200.0
ayongu01,1522500.0
azubuke01,1600890.43
babbch01,48028.0
babbilu01,1512680.43
babicmi01,200000.0
bacondw01,815615.0
bagarda01,1019915.75
baglejo01,448222.22
baileja01,450000.0
baileth01,726727.27
baileto01,411250.0
bairsca01,676197.5
bakerro01,2435735.5
bakervi01,5728876.12
balkmre01,1568459.57
ballagr01,435416.5
balllo01,6286560.0
banksge01,245000.0
banksma01,3266940.0
bannike01,213750.0
barbole01,3354811.29
bardost01,187500.0
bareajo01,2738692.5
bargnan01,6683582.55
barklch01,2907200.0
barkler01,677566.67
barneha02,9645672.0
barnema02,1963000.94
barrean01,564914.0
barroda01,2132291.67
barroea01,422437.57
barrybr01,3564324.0
barrydr01,206382.5
barryjo01,1416071.43
bartowi01,2109019.0
basdeed01,398762.0
bassbr01,3234292.42
bastoma01,1058182.2
bateeme01,574566.0
batises01,531485.5
batismi01,349458.0
battish01,4351509.38
battito01,3840277.47
battljo01,646250.0
battlke01,245000.0
batumni01,9496237.4
baxtelo01,568465.0
bayleje01,4003060.4
baynear01,3432507.0
bazarse01,168000.0
bazemke01,6317154.5
bealbr01,10757461.67
beaslje01,493488.5
beaslma01,1663980.0
beaslmi01,2822272.23
beaubro01,1423893.25
beckco01,348625.0
bedfowi01,800000.0
belinma01,3118977.25
bellch01,2509222.88
belljo01,815615.0
bellra01,3052663.67
belltr01,1381880.0
bembrde01,1533480.0
bendedr01,4372560.0
bendejo01,3833768.25
benimje01,32421.5
benjabe01,2091375.36
benjaco01,661720.0
bennean01,3300234.4
bennema01,484375.0
benneto01,182000.0
bennewi01,525000.0
benoida01,674137.0
bensoke01,320000.0
bensoke02,75000.0
bentibe01,110656.33
berryri01,300000.0
berrywa01,300000.0
bertada01,928041.0
besttr01,1821167.9
beverpa01,3333167.67
bhullsi01,29843.0
bibbymi01,7649544.36
biedran01,6220877.6
billuch01,5957095.56
birchkh01,432807.5
birdla01,2513333.33
birdsot01,891666.67
biyombi01,7104182.57
bjeline01,3916666.33
blabuw01,246666.67
blackal01,140000.0
blackro01,1140454.2
blackta01,2708348.75
blairde01,1250843.86
blakest01,2845726.31
blalowi01,412718.0
blankla01,423333.33
blantri01,8000.0
blatcan01,3611500.45
blaylmo01,2649166.67
bledser01,7647052.88
blounco01,1203477.92
blounma01,4464967.2
bobbito01,305403.0
boganke01,1740034.64
bogdabo01,9470614.0
bogdabo02,5233540.75
boguemu01,1151775.0
bogutan01,8402832.64
bohanet01,397875.0
bolma01,735937.5
bondwa01,118725.0
bonnean01,706500.0
bonnema01,2510694.5
bookede01,2223600.0
booketr01,3813121.78
boonejo01,1364022.0
boothca01,3242633.92
boothke01,687240.0
boozeca01,10436409.71
borchcu01,1387958.25
borrela01,301875.0
boshch01,14351488.87
bosweto01,65000.0
boumtru01,502977.0
bowdlca01,1102800.0
bowenbr01,2333719.23
bowenry01,808700.64
bowiean01,767500.0
bowiesa01,1859444.44
bowmair01,12158.0
boycedo01,248750.0
boykiea01,1272681.69
bozemce01,412718.0
brackcr01,1355940.0
bradlav01,4885609.0
bradldu01,91666.67
bradlmi01,1032599.2
bradlsh01,4970000.0
bradlto01,1414920.0
bradtma01,247500.0
braggma01,225000.0
braggto01,185333.0
bramlaj01,118974.0
brancad01,150000.0
brandel01,8906806.53
brandte01,4583495.38
breauti01,215750.0
bremejr01,456568.5
breuera01,594500.0
breweco01,4200493.92
breweja01,550994.25
brewero02,2452281.12
brezepr01,1665997.25
brickfr01,1506444.44
bridgju01,350000.0
brittmi01,105000.0
brockjo01,864397.0
brogdma01,1118805.5
brookaa01,1831293.91
brookdi01,815615.0
brookke01,750000.0
brookma01,961489.25
brookmi01,75000.0
brooksc01,379722.22
brownan01,353672.0
brownbo02,835753.25
brownch01,495906.25
brownda02,267662.5
brownde01,2194727.27
brownde02,906287.44
brownde03,217095.0
brownde04,691390.67
browner01,332817.0
brownge02,336250.0
brownja01,44765.0
brownja02,4849740.0
brownke01,1815377.0
brownkw01,4922527.15
brownma01,315823.5
brownmi01,808750.0
brownmy01,200000.0
brownpj01,4967085.71
brownra02,1263500.0
brownri01,160000.0
brownsh01,2189122.62
brownst02,815615.0
brownti01,526431.5
brownto01,160000.0
brunsri01,544638.3
brussni01,724360.0
bryanko01,16411903.1
bryanma01,1253928.57
bryanth01,815615.0
bryanwa01,165000.0
buckngr01,1976898.4
bucknqu01,231000.0
budinch01,2279506.25
buechju01,1223750.0
buforro01,419519.0
bullama01,773412.09
bullore01,1671560.8
burkepa01,636486.0
burketr01,2363263.6
burksal01,5663097.29
burksan01,513512.5
burleke01,234381.0
burnsev01,1616000.0
burresc01,1028571.43
burroju01,300000.0
burtowi01,950785.71
burttst01,75000.0
busedo01,130000.0
butleca01,5259956.5
butlegr01,100000.0
butleja01,1875190.5
butleji01,8193341.0
butlemi02,466864.33
butlera01,1990005.75
buyckdw01,398094.0
bynuman01,8097362.0
bynumwi01,2142216.62
cabarza01,1523874.25
cabocbr01,1755806.25
caffeja01,3406856.8
cagemi01,1323955.46
calatni01,816482.0
caldejo01,5953100.57
caldwad01,165375.0
caldwke01,5948306.6
callori01,125000.0
cambrde01,150000.0
cambyma01,6502227.45
campbel01,4611666.67
campbto01,745333.33
canaais01,671744.33
capelca01,1515670.0
caracde01,372015.5
cardibr01,3277882.92
carlige01,65779.0
carliri01,105000.0
carnero01,1025056.83
carran01,1145466.67
carrch01,591428.57
carrco01,287500.0
carrke01,368625.0
carrml01,175000.0
carrode01,5603199.22
carrojo01,1000000.0
carroma01,3281892.44
cartean01,1434337.33
cartebu01,160000.0
cartemi01,2556705.2
cartevi01,8663211.62
cartwbi01,1440700.0
cassesa01,3651235.94
casspom01,1566183.3
catchha01,262000.0
catlete01,866522.22
catoke01,4656846.5
cattabo01,70000.0
caulewi01,3551200.0
causwdu01,1602917.45
cavanty01,729919.0
cavenro01,100000.0
cebalce01,1814772.73
celesjo01,301875.0
chalmli01,566025.0
chalmma01,2748255.11
chambto01,1267604.17
chandty01,10205663.12
chandwi01,5840038.7
chapmre01,1860053.85
charllo01,70000.0
cheanca01,2310000.0
cheekma01,763571.43
cherrwi01,25000.0
chievde01,437500.0
chilcpe01,589033.33
childch01,2681666.7
childjo01,4317544.78
childra01,773080.0
chrisdi01,50000.0
chrisdo01,3439429.2
chrisma01,3007620.0
chrisra01,741631.33
chrisse01,543471.0
clarkca01,65000.0
clarkco01,61776.0
clarkea01,1729598.67
clarkia01,1062709.0
clarkjo01,6353723.75
clarkke01,2531093.83
clavevi01,1333333.33
claxtsp01,3704660.0
cleavma01,1016812.8
closske01,1560000.0
cofferi01,150000.0
cofiefr01,70000.0
cokerjo01,353333.33
colembe01,287500.0
colemde01,5374517.65
coleno01,1428467.33
colesbi01,1348533.33
collida01,3704793.44
collija01,242000.0
